site,location,T90,salinity,turbid_level,turbidity,time,bottle,date,staph,change_staph,perc_change_staph,T90,T90_Cf3,T90_Cf_idk,T90_Cf2,T90_Cf
1,Loi,35.0883,Fresh,High,401,0,1,6/14/22,10626.66667,133.3333333,1.01270648,35.0883,4.026397058,10626.66667,4.026397058,1.6049166
1,Loi,35.0883,Fresh,High,401,0,2,6/14/22,10493.33333,10333.33333,65.58333333,35.0883,4.020913469,10493.33333,4.020913469,1.604324727
1,Loi,35.0883,Fresh,High,401,0,3,6/14/22,8133.333333,8026.666667,119.0243902,35.0883,3.910268572,8133.333333,3.910268572,1.592206587
2,Pipe,21.834,Fresh,Low,5.62,0,1,6/14/22,2420,-8073.333333,0.230622618,21.834,3.383815366,2420,3.383815366,1.529406658
2,Pipe,21.834,Fresh,Low,5.62,0,2,6/14/22,870,710,5.4375,21.834,2.939519253,870,2.939519253,1.468276309
2,Pipe,21.834,Fresh,Low,5.62,0,3,6/14/22,1360,1253.333333,19.90243902,21.834,3.133538908,1360,3.133538908,1.496035092
3,Ulupo,21.834,Fresh,Low,5.42,0,1,6/14/22,423.3333333,-10070,0.040343075,21.834,2.626682466,423.3333333,2.626682466,1.419407575
3,Ulupo,21.834,Fresh,Low,5.42,0,2,6/14/22,536.6666667,376.6666667,3.354166667,21.834,2.729704621,536.6666667,2.729704621,1.436115655
3,Ulupo,21.834,Fresh,Low,5.42,0,3,6/14/22,406.6666667,300,5.951219512,21.834,2.609238576,406.6666667,2.609238576,1.416513791
4,Kaha_LT,12.93331,Brackish,Low,1.33,0,1,6/23/22,2426.666667,1556.666667,2.789272031,12.93331,3.385010125,2426.666667,3.385010125,1.529559972
4,Kaha_LT,12.93331,Brackish,Low,1.33,0,2,6/23/22,263.3333333,195,3.853658537,12.93331,2.420505837,263.3333333,2.420505837,1.383906134
4,Kaha_LT,12.93331,Brackish,Low,1.33,0,3,6/23/22,180,-1586.666667,0.101886792,12.93331,2.255272505,180,2.255272505,1.353199025
5,Kaha_MT,34.5039,Brackish,Intermediate,66.5,0,1,6/23/22,3096.666667,2226.666667,3.559386973,34.5039,3.490894459,3096.666667,3.490894459,1.542936719
5,Kaha_MT,34.5039,Brackish,Intermediate,66.5,0,2,6/23/22,2400,2331.666667,35.12195122,34.5039,3.380211242,2400,3.380211242,1.528943842
5,Kaha_MT,34.5039,Brackish,Intermediate,66.5,0,3,6/23/22,1336.666667,-430,0.756603774,34.5039,3.126023118,1336.666667,3.126023118,1.494992185
6,Kaha_HT,64.1793,Brackish,High,800,0,1,6/23/22,3133.333333,2263.333333,3.601532567,64.1793,3.496006599,3133.333333,3.496006599,1.543572244
6,Kaha_HT,64.1793,Brackish,High,800,0,2,6/23/22,7450,7381.666667,109.0243902,64.1793,3.872156273,7450,3.872156273,1.587952876
6,Kaha_HT,64.1793,Brackish,High,800,0,3,6/23/22,4633.333333,2866.666667,2.622641509,64.1793,3.665893546,4633.333333,3.665893546,1.564179849
4,Kaha_LT,12.93331,Brackish,Low,1.33,0.5,1,6/23/22,16173.33333,15303.33333,18.59003831,12.93331,10.67545454,16179.79999,10.67545454,2.028386375
4,Kaha_LT,12.93331,Brackish,Low,1.33,0.5,2,6/23/22,2880,2811.666667,42.14634146,12.93331,9.926047488,2886.466655,9.926047488,1.996776349
4,Kaha_LT,12.93331,Brackish,Low,1.33,0.5,3,6/23/22,2986.666667,1220,1.690566038,12.93331,9.941841755,2993.133322,9.941841755,1.997466846
5,Kaha_MT,34.5039,Brackish,Intermediate,66.5,0.5,1,6/23/22,3093.333333,2223.333333,3.555555556,34.5039,20.74237672,3110.585283,20.74237672,2.316858518
5,Kaha_MT,34.5039,Brackish,Intermediate,66.5,0.5,2,6/23/22,1870,1801.666667,27.36585366,34.5039,20.52379161,1887.25195,20.52379161,2.312257596
5,Kaha_MT,34.5039,Brackish,Intermediate,66.5,0.5,3,6/23/22,2463.333333,696.6666667,1.394339623,34.5039,20.64347318,2480.585283,20.64347318,2.314782767
6,Kaha_HT,64.1793,Brackish,High,800,0.5,1,6/23/22,1766.666667,896.6666667,2.030651341,64.1793,35.33680461,1798.756317,35.33680461,2.548227275
6,Kaha_HT,64.1793,Brackish,High,800,0.5,2,6/23/22,4016.666667,3948.333333,58.7804878,64.1793,35.69351579,4048.756317,35.69351579,2.552589328
6,Kaha_HT,64.1793,Brackish,High,800,0.5,3,6/23/22,3950,2183.333333,2.235849057,64.1793,35.6862471,3982.08965,35.6862471,2.552500878
1,Loi,35.0883,Fresh,High,401,1,1,6/15/22,8840,-1653.333333,0.842439644,35.0883,39.03475227,8875.0883,39.03475227,2.591451427
1,Loi,35.0883,Fresh,High,401,1,2,6/15/22,2733.333333,2573.333333,17.08333333,35.0883,38.5249926,2768.421633,38.5249926,2.585742564
